logrecno,geoid
0011900,36047068200
0011901,36047068600
0011902,36047068800
0011903,36047069000
0011904,36047069200
0011905,36047069601
0011906,36047069602
0011907,36047069800
0011908,36047070000
0011909,36047070201
0011910,36047070202
0011911,36047070203
0011912,36047070600
0011913,36047072000
0011914,36047072200
0011915,36047072400
0011916,36047072600
0011917,36047072800
0011918,36047073000
0011919,36047073200
0011920,36047073400
0011921,36047073600
0011922,36047073800
0011923,36047074000
0011924,36047074200
0011925,36047074400
0011926,36047074600
0011927,36047074800
0011928,36047075000
0011929,36047075200
0011930,36047075400
0011931,36047075600
0011932,36047075800
0011933,36047076000
0011934,36047076200
0011935,36047076400
0011936,36047076600
0011937,36047076800
0011938,36047077000
0011939,36047077200
0011940,36047077400
0011941,36047077600
0011942,36047078000
0011943,36047078200
0011944,36047078400
0011945,36047078600
0011946,36047078800
0011947,36047079000
0011948,36047079200
0011949,36047079400
0011950,36047079601
0011951,36047079602
0011952,36047079801
0011953,36047079802
0011954,36047080000
0011955,36047080200
0011956,36047080400
0011957,36047080600
0011958,36047080800
0011959,36047081000
0011960,36047081400
0011961,36047081600
0011962,36047081800
0011963,36047082000
0011964,36047082200
0011965,36047082400
0011966,36047082600
0011967,36047082800
0011968,36047083000
0011969,36047083200
0011970,36047083400
0011971,36047083600
0011972,36047083800
0011973,36047084000
0011974,36047084600
0011975,36047084800
0011976,36047085000
0011977,36047085200
0011978,36047085400
0011979,36047085600
0011980,36047085800
0011981,36047086000
0011982,36047086200
0011983,36047086400
0011984,36047086600
0011985,36047086800
0011986,36047087000
0011987,36047087200
0011988,36047087401
0011989,36047087600
0011990,36047087800
0011991,36047088000
0011992,36047088200
0011993,36047088400
0011994,36047088600
0011995,36047088800
0011996,36047089000
0011997,36047089200
0011998,36047089400
0011999,36047089600
0012000,36047089800
0012001,36047090000
0012002,36047090200
0012003,36047090600
0012004,36047090800
0012005,36047091000
0012006,36047091200
0012007,36047091600
0012008,36047091800
0012009,36047092000
0012010,36047092200
0012011,36047092400
0012012,36047092800
0012013,36047093000
0012014,36047093200
0012015,36047093400
0012016,36047093600
0012017,36047093800
0012018,36047094401
0012019,36047094402
0012020,36047094600
0012021,36047095000
0012022,36047095400
0012023,36047095600
0012024,36047095800
0012025,36047096000
0012026,36047096200
0012027,36047096400
0012028,36047096600
0012029,36047096800
0012030,36047097000
0012031,36047097400
0012032,36047098200
0012033,36047098400
0012034,36047098600
0012035,36047098800
0012036,36047099000
0012037,36047099200
0012038,36047099400
0012039,36047099600
0012040,36047099800
0012041,36047100400
0012042,36047100600
0012043,36047100800
0012044,36047101000
0012045,36047101200
0012046,36047101400
0012047,36047101600
0012048,36047101800
0012049,36047102000
0012050,36047102200
0012051,36047102400
0012052,36047102600
0012053,36047102800
0012054,36047103400
0012055,36047105801
0012056,36047105804
0012057,36047107000
0012058,36047107800
0012059,36047109800
0012060,36047110400
0012061,36047110600
0012062,36047111000
0012063,36047111600
0012064,36047111800
0012065,36047112000
0012066,36047112200
0012067,36047112400
0012068,36047112600
0012069,36047112800
0012070,36047113000
0012071,36047113200
0012072,36047113400
0012073,36047114201
0012074,36047114202
0012075,36047114400
0012076,36047114600
0012077,36047115000
0012078,36047115200
0012079,36047115600
0012080,36047115800
0012081,36047116000
0012082,36047116200
0012083,36047116400
0012084,36047116600
0012085,36047116800
0012086,36047117000
0012087,36047117201
0012088,36047117202
0012089,36047117400
0012090,36047117601
0012091,36047117602
0012092,36047117800
0012093,36047118000
0012094,36047118201
0012095,36047118202
0012096,36047118400
0012097,36047118600
0012098,36047118800
0012099,36047119000
0012100,36047119200
0012101,36047119400
0012102,36047119600
0012103,36047119800
0012104,36047120000
0012105,36047120200
0012106,36047120800
0012107,36047121000
0012108,36047121400
0012109,36047122000
0012110,36047123700
0012111,36047150200
0012112,36047152200
0012113,36047990100
0012645,36061000100
0012646,36061000201
0012647,36061000202
0012648,36061000500
0012649,36061000600
0012650,36061000700
0012651,36061000800
0012652,36061000900
0012653,36061001001
0012654,36061001002
0012655,36061001200
0012656,36061001300
0012657,36061001401
0012658,36061001402
0012659,36061001501
0012660,36061001502
